#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference Comment	Hypothetical Only
elders of the town	-1	Male	Elder			DEU 21:7 <-(1 more)-> DEU 25:8	False
elders, Ephesian	-1	Male	Elder			ACT 20:38	False
elders, one of the	1	Male	Elder			REV 5:5 <-(4 more)-> REV 7:17	False
Eleazar the priest, son of Aaron	1	Male	Adult			NUM 31:21 <-(2 more)-> NUM 31:24	False
Eleven	11	Male	Adult		This should be spoken by one of the 11 disciples (excluding Judas Iscariot). The wording suggests that it was not Simon Peter.		False
Eli (very old)	1	Male	Elder			1SA 1:14 <-(12 more)-> 1SA 4:16	False
Eliab, David's brother	1	Male				1SA 17:28	False
Eliakim	1	Male					False
Eliezer, prophet of the Lord	1	Male				2CH 20:37	False
Elihu, son of Barakel	1	Male				JOB 32:6 <-(155 more)-> JOB 37:24	False
Elijah	1	Male				1KI 17:1 <-(48 more)-> JAS 5:17	False
Eliphaz the Temanite	1	Male				JOB 4:2 <-(108 more)-> JOB 22:30	False
Elisha	1	Male	Adult			1KI 19:20 <-(66 more)-> 2KI 9:3	False
Elisha (old)	1	Male	Elder			2KI 13:15 <-(3 more)-> 2KI 13:19	False
Elishama	1	Male			scribe		False
Elisha's messenger	1					2KI 5:10	False
Elizabeth	1	Female	Elder			LUK 1:25 <-(4 more)-> LUK 1:60	False
Elkanah	1	Male				1SA 1:8 & 1SA 1:23	False
Elnathan	1	Male			son of Achbor		False
Elymas	1	Male			magician	ACT 13:8	False
enemies of God	-1					PSA 74:8 & LAM 2:16	False
enemies of Israel	-1					PSA 83:4 & PSA 83:12	False
enemies of Judah and Benjamin	-1	Male				EZR 4:2	False
enemy	1	Female				MIC 7:10	True
Enoch	1	Male				JUD 1:14 & JUD 1:15	False
Ephraim	-1	PreferMale				HOS 12:8	False
Ephraimites	-1					JDG 8:1 <-(4 more)-> ISA 9:10	False
Ephron the Hittite	1	Male				GEN 23:11 & GEN 23:15	False
Epicurean and Stoic philosophers	-1					ACT 17:19 & ACT 17:20	False
Epicurean and Stoic philosophers, interested	-1					ACT 17:32	False
Epicurean and Stoic philosophers, other	-1					ACT 17:18	False
Epicurean and Stoic philosophers, sneering	-1					ACT 17:32	False
Epicurean and Stoic philosophers, some	-1					ACT 17:18	False
Esau	1	Male	Adult			GEN 25:30 <-(12 more)-> GEN 33:15	False
Esther, queen	1	Female	Adult			EST 4:11 <-(9 more)-> EST 9:13	False
Ethan	1	Male	Adult			Author of Psalm 89	False
Ethiopian officer of Queen Candace	1	Male				ACT 8:31 <-(3 more)-> ACT 8:38	False
